LOAD_DTE,REF_CNT,STDV,MEAN,LCL,UCL
2019-06-19,29,14.16,33.26,19.1,47.42
2019-06-18,67,14.16,33.26,19.1,47.42
2019-06-17,10,14.16,33.26,19.1,47.42
2019-06-14,3,14.16,33.26,19.1,47.42
2019-06-13,31,14.16,33.26,19.1,47.42
2019-06-12,32,14.16,33.26,19.1,47.42
2019-06-11,54,14.16,33.26,19.1,47.42
2019-06-10,44,14.16,33.26,19.1,47.42
2019-06-07,27,14.16,33.26,19.1,47.42
2019-06-06,20,14.16,33.26,19.1,47.42
2019-06-05,30,14.16,33.26,19.1,47.42
2019-06-04,39,14.16,33.26,19.1,47.42
2019-06-03,49,14.16,33.26,19.1,47.42
2019-05-31,41,14.16,33.26,19.1,47.42
2019-05-29,34,14.16,33.26,19.1,47.42
2019-05-28,12,14.16,33.26,19.1,47.42
2019-05-27,40,14.16,33.26,19.1,47.42
2019-05-24,23,14.16,33.26,19.1,47.42
2019-05-23,28,14.16,33.26,19.1,47.42
2019-05-22,33,14.16,33.26,19.1,47.42
2019-05-21,42,14.16,33.26,19.1,47.42
2019-05-20,56,14.16,33.26,19.1,47.42
2019-05-16,27,14.16,33.26,19.1,47.42
2019-05-15,34,14.16,33.26,19.1,47.42
2019-05-14,41,14.16,33.26,19.1,47.42
2019-05-13,31,14.16,33.26,19.1,47.42
2019-05-10,21,14.16,33.26,19.1,47.42
